x1,x2,y
-0.064524+0.997916j,+0.998744+0.050095j,+7.796383+3.394507j
-0.079701+0.996819j,-0.797657+0.603112j,-6.620356+7.815352j
+0.991150+0.132746j,-0.352971-0.935634j,+0.149685-7.086837j
-0.972127-0.234455j,+0.707632-0.706582j,+2.744672-6.356019j
-0.217785-0.975997j,-0.069990-0.997548j,-1.213277-10.908372j
+0.090112-0.995932j,+0.986260-0.165202j,+8.160413-4.309411j
+0.987177+0.159627j,-0.845140-0.534546j,-3.799585-3.797483j
+0.984798+0.173702j,-0.320337+0.947304j,+0.391700+8.099534j
-0.656131-0.754647j,-0.853735+0.520708j,-8.798272+1.901726j
+0.856595+0.515989j,+0.526989+0.849872j,+6.785695+8.346946j
+0.396009+0.918247j,-0.856320-0.516446j,-5.662533-1.376825j
+0.109183+0.994022j,+0.999882+0.015334j,+8.326608+3.104738j
+0.063891-0.997957j,+0.999745+0.022577j,+8.189634-2.813252j
-0.843125+0.537717j,-0.894446-0.447176j,-9.684943-1.964258j
+0.031173+0.999514j,-0.017639+0.999844j,-0.047592+10.997297j
-0.925663-0.378350j,+0.532884-0.846188j,+1.486084-7.904557j
+0.024553+0.999699j,-0.941146-0.337999j,-7.455511+0.295103j
+0.873292+0.487197j,-0.499543-0.866289j,-1.376464-5.468724j
+0.911094+0.412198j,-0.851745+0.523957j,-4.080676+5.428249j
-0.933603-0.358310j,+0.937005-0.349317j,+4.695230-3.869462j
-0.349468-0.936948j,-0.967098-0.254403j,-8.785190-4.846068j
+0.456022+0.889968j,-0.117638-0.993057j,+0.426965-5.274548j
-0.924736-0.380610j,-0.154646+0.987970j,-4.011379+6.761929j
+0.583444-0.812154j,-0.999643-0.026717j,-6.246813-2.650196j
+0.750693-0.660651j,+0.247206+0.968963j,+4.229730+5.769749j
-0.793989+0.607933j,-0.484965+0.874534j,-6.261685+8.820067j
-0.943651-0.330943j,-0.352988+0.935628j,-5.654859+6.492192j
+0.858768-0.512364j,+0.126709-0.991940j,+3.589974-9.472611j
+0.999782-0.020891j,+0.093632+0.995607j,+3.748398+7.902182j
-0.988316-0.152420j,-0.843473+0.537171j,-9.712732+3.840111j
-0.664353-0.747419j,+0.454595-0.890698j,+1.643697-9.367844j
-0.971808-0.235772j,-0.924508-0.381163j,-10.311489-3.756618j
+0.852483-0.522756j,+0.957141+0.289622j,+10.214576+0.748710j
-0.696843-0.717224j,+0.269912-0.962885j,+0.068769-9.854751j
+0.910150+0.414278j,-0.730476+0.682938j,-3.113360+6.706339j
-0.971139-0.238513j,+0.127319+0.991862j,-1.894869+7.219356j
-0.339745+0.940517j,-0.003254-0.999995j,-1.045265-5.178405j
-0.649353-0.760487j,-0.986469+0.163950j,-9.839809-0.969863j
-0.992054-0.125809j,+0.585256-0.810848j,+1.705886-6.864216j
+0.999657+0.026184j,-0.851315-0.524654j,-3.811552-4.118682j
+0.316789+0.948496j,+0.061480+0.998108j,+1.442210+10.830354j
+0.997184+0.074989j,+0.974503-0.224373j,+10.787579-1.570018j
-0.996908+0.078583j,-0.999639+0.026876j,-10.987833+0.450757j
+0.999961+0.008822j,-0.927770-0.373151j,-4.422280-2.958744j
-0.895301+0.445462j,-0.097321-0.995253j,-3.464472-6.625638j
+0.991958-0.126569j,-0.977677+0.210114j,-4.845542+1.301206j
-0.004240-0.999991j,+0.270684+0.962668j,+2.152752+4.701373j
-0.985242+0.171167j,+0.384831-0.922987j,+0.122922-6.870395j
-0.557897+0.829910j,+0.997190-0.074915j,+6.303828+1.890408j
+0.577670-0.816270j,-0.434247+0.900794j,-1.740966+4.757539j
-0.812383+0.583124j,+0.927603+0.373567j,+4.983677+4.737907j
+0.958671-0.284516j,-0.542511+0.840049j,-1.464070+5.866846j
-0.182816+0.983147j,-0.947637+0.319350j,-8.129542+5.504242j
-0.342162-0.939641j,-0.996043-0.088876j,-8.994827-3.529935j
+0.439179-0.898400j,+0.896928+0.442178j,+8.492957+0.842221j
-0.305895-0.952065j,-0.936566+0.350491j,-8.410214-0.052270j
+0.922135-0.386868j,+0.293396+0.955991j,+5.113576+6.487323j
+0.977583-0.210552j,+0.305804+0.952094j,+5.379180+6.985101j
+0.651822-0.758372j,-0.067486+0.997720j,+1.415580+5.706646j
-0.498085+0.867128j,+0.914360-0.404903j,+5.820621-0.637841j
-0.681415+0.731897j,+0.787538+0.616265j,+4.256062+7.125815j
+0.100452+0.994942j,-0.997819+0.066008j,-7.681197+3.512892j
-0.999194+0.040137j,-0.921399-0.388619j,-10.368771-2.988540j
+0.945092+0.326805j,-0.248086-0.968738j,+0.850585-6.769488j
-0.483964-0.875088j,-0.774499+0.632575j,-7.647886+2.435334j
+0.846920-0.531720j,-0.371561-0.928408j,-0.431729-9.022426j
-0.751357-0.659896j,+0.645757+0.763543j,+2.911986+4.128656j
-0.253065-0.967449j,+0.735248+0.677799j,+5.122786+2.520041j
+0.961393-0.275180j,-0.417195+0.908817j,-0.453382+6.444995j
+0.997351+0.072739j,+0.151181-0.988506j,+4.201503-7.689832j
-0.814931+0.579558j,-0.759581-0.650413j,-8.521443-3.464628j
+0.212229+0.977220j,+0.752708-0.658355j,+6.658351-2.335177j
+0.879751-0.475435j,-0.291177+0.956669j,+0.309839+6.227050j
-0.760809+0.648976j,+0.145059+0.989423j,-1.121955+9.862313j
-0.835378-0.549677j,+0.883438+0.468548j,+4.561372+2.099354j
+0.646230+0.763143j,-0.937840+0.347067j,-5.564034+5.065963j
+0.536075-0.844170j,-0.339925+0.940453j,-1.111173+4.991110j
-0.374186+0.927354j,+0.635998-0.771690j,+3.965430-3.391462j
+0.144515-0.989503j,-0.803198-0.595712j,-5.992039-7.734205j
+0.675521-0.737341j,+0.227140-0.973862j,+3.843687-10.002918j
+0.676611+0.736340j,+0.679300+0.733861j,+7.464236+8.079905j
+0.352347+0.935869j,+0.253404+0.967360j,+3.084277+10.546491j
+0.979209-0.202854j,-0.726280+0.687399j,-2.872609+4.890634j
-0.469048-0.883173j,-0.871647+0.490134j,-8.380320+1.271555j
-0.840583-0.541682j,+0.364725-0.931115j,+0.396049-9.073970j
+0.398763+0.917054j,+0.956638+0.291280j,+8.849393+5.081399j
-0.237496+0.971389j,+0.999032-0.043996j,+7.279766+2.562200j
+0.451375-0.892335j,-0.465815-0.884882j,-2.372393-9.756062j
+0.616333+0.787485j,-0.855452-0.517882j,-4.994616-1.780601j
+0.253189+0.967417j,+0.876358+0.481660j,+7.770429+6.755534j
-0.697093-0.716980j,+0.935723-0.352735j,+5.394507-4.972817j
+0.959142-0.282925j,-0.998383-0.056853j,-5.109634-1.303602j
+0.270339-0.962765j,+0.705774-0.708437j,+6.457212-8.555789j
-0.405637-0.914034j,-0.994151-0.108000j,-9.170118-3.606106j
+0.858555-0.512722j,-0.447283+0.894393j,-1.002596+5.616976j
-0.296098+0.955158j,+0.975716+0.219039j,+6.917436+4.617781j
+0.999051-0.043563j,+0.073680+0.997282j,+3.586589+7.847565j
+0.717475-0.696584j,-0.605700+0.795693j,-2.693175+4.275792j
-0.993956+0.109777j,-0.539344-0.842085j,-7.296625-6.407351j
+0.550682+0.834715j,-0.324826+0.945774j,-0.946561+10.070335j
+0.999249+0.038736j,-0.688998+0.724763j,-2.514234+5.914317j
+0.728118-0.685452j,+0.944618+0.328171j,+9.741300+0.569015j
+0.985139+0.171758j,+0.936613+0.350367j,+10.448319+3.318208j
+0.420555-0.907267j,+0.999291-0.037650j,+9.255993-3.023000j
-0.242996-0.970027j,+0.571043-0.820920j,+3.839359-9.477441j
+0.984774-0.173839j,+0.181195+0.983447j,+4.403884+7.346061j
-0.438749+0.898610j,-0.296710+0.954968j,-3.689925+10.335571j
-0.820584+0.571526j,-0.190657+0.981657j,-3.987007+9.567831j
+0.151385+0.988475j,+0.030453-0.999536j,+0.697778-5.030865j
-0.234279-0.972169j,-0.632347+0.774685j,-5.761615+3.280972j
+0.297825+0.954620j,+0.663252-0.748396j,+6.199494-3.123306j
+0.993292-0.115629j,-0.370778-0.928722j,+0.013654-7.776659j
-0.736877-0.676026j,-0.763772+0.645486j,-8.320807+3.135811j
+0.589238+0.807960j,-0.884312+0.466897j,-5.306781+6.159054j
-0.756741+0.653715j,+0.040986+0.999160j,-1.942338+9.954422j
+0.589721-0.807607j,+0.999323+0.036792j,+9.763747-2.128482j
-0.441682+0.897172j,+0.499735-0.866178j,+2.672835-4.237911j
-0.970883+0.239554j,-0.142427+0.989805j,-4.052069+8.637104j
-0.913325-0.407231j,-0.873662+0.486534j,-9.729269+2.670578j
+0.592537-0.805543j,+0.458383+0.888755j,+5.444672+4.693409j
+0.476546+0.879150j,+0.935761-0.352635j,+8.915724-0.183631j
+0.999984-0.005694j,-0.554879+0.831931j,-1.439077+6.638368j
-0.999842+0.017786j,-0.844115+0.536162j,-9.752446+4.342655j
+0.965998+0.258550j,+0.974757-0.223270j,+10.696047-1.010507j
-0.913298+0.407291j,-0.473211+0.880949j,-6.525586+8.269465j
+0.202260+0.979332j,-0.983705+0.179790j,-7.262861+4.376318j
+0.707855+0.706358j,-0.382607+0.923911j,-0.937289+9.510365j
+0.191220+0.981547j,+0.644109+0.764934j,+5.726533+9.064111j
-0.330734-0.943724j,+0.933409+0.358813j,+6.475073+0.039334j
+0.742859-0.669448j,+0.648010+0.761631j,+7.412660+4.084708j
-0.125061-0.992149j,+0.757675-0.652632j,+5.686214-8.197506j
-0.999308-0.037202j,-0.910901-0.412624j,-10.285134-3.412599j
-0.803394+0.595448j,+0.985661+0.168737j,+5.475108+3.136244j
-0.888383-0.459103j,-0.509467+0.860490j,-6.740886+5.506612j
-0.125754+0.992061j,+0.281491+0.959564j,+1.874669+10.652694j
+0.249507+0.968373j,-0.441471+0.897276j,-2.783243+10.083324j
+0.971749+0.236016j,-0.667395+0.744704j,-2.423912+6.665681j
+0.469073-0.883159j,+0.446252-0.894907j,+4.977239-9.808735j
-0.120032-0.992770j,+0.831036-0.556218j,+6.288196-7.428055j
+0.481405-0.876498j,-0.291731-0.956500j,-0.889631-10.281499j
+0.749529+0.661971j,+0.344649+0.938732j,+5.005782+9.495766j
-0.035727-0.999362j,+0.958929-0.283646j,+7.564251-5.267250j
+0.486342-0.873768j,-0.630226-0.776412j,-3.582783-8.832598j
+0.936316+0.351158j,+0.919294-0.393572j,+10.163298-2.095104j
-0.767156-0.641461j,+0.011009-0.999939j,-2.213398-9.923898j
-0.114056+0.993474j,-0.977567-0.210627j,-8.162700+1.295407j
-0.898285-0.439413j,+0.075634-0.997136j,-2.089782-9.295325j
+0.957324-0.289017j,+0.998908+0.046729j,+10.863232-0.493219j
+0.990935+0.134345j,-0.440908-0.897552j,-0.554461-6.777383j
-0.007521+0.999972j,-0.775763-0.631024j,-6.228669-2.048276j
+0.733905-0.679252j,-0.981479-0.191570j,-5.650117-3.570317j
-0.144177-0.989552j,-0.993495-0.113874j,-8.380494-3.879647j
+0.372083+0.928199j,+0.280413-0.959879j,+3.359557-4.894436j
-0.029064-0.999578j,+0.716347+0.697744j,+5.643585+2.583220j
+0.930259+0.366905j,-0.241177-0.970481j,+0.861357-6.663134j
+0.695308-0.718712j,+0.867795+0.496923j,+9.028279+1.819248j
+0.490352-0.871524j,+0.931697+0.363237j,+8.924632+0.291321j
+0.822818-0.568304j,+0.411448+0.911433j,+5.760036+5.586554j
-0.789657+0.613549j,+0.983630-0.180202j,+5.500066+0.399029j
-0.381043+0.924557j,-0.597490+0.801876j,-5.923047+9.188684j
+0.674251+0.738503j,+0.999439+0.033487j,+10.018265+2.483401j
+0.515677-0.856783j,-0.756737+0.653720j,-4.506864+2.659408j
+0.383779+0.923425j,-0.991608-0.129281j,-6.781527+1.736025j
+0.092928+0.995673j,+0.131239+0.991351j,+1.328699+10.917824j
-0.999014+0.044391j,+0.509238+0.860626j,+1.076860+7.018178j
+0.673687-0.739017j,+0.378429+0.925630j,+5.048496+5.187990j
+0.975793+0.218695j,+0.688960+0.724799j,+8.439060+6.454480j
-0.452094+0.891970j,+0.827118+0.562029j,+5.260657+7.172142j
+0.331788-0.943354j,-0.206473-0.978452j,-0.656424-10.657680j
-0.841791+0.539804j,-0.965284+0.261203j,-10.247644+3.709034j
+0.732785-0.680460j,+0.408579+0.912723j,+5.466990+5.260402j
-0.965612-0.259989j,+0.298982-0.954259j,-0.504980-8.414036j
+0.433634+0.901089j,+0.882875+0.469607j,+8.363906+6.460125j
-0.927783-0.373119j,-0.972201+0.234150j,-10.560955+0.753839j
+0.826583-0.562815j,-0.983264-0.182189j,-5.386360-3.145955j
+0.748253-0.663414j,+0.371489-0.928437j,+5.216668-9.417740j
-0.185903-0.982568j,-0.026172-0.999657j,-0.767081-10.944964j
-0.264748+0.964318j,-0.870156+0.492777j,-7.755491+6.835165j
-0.304842+0.952403j,-0.951303-0.308256j,-8.524953+0.391162j
+0.908649-0.417560j,-0.779982+0.625802j,-3.513906+3.753738j
-0.921423-0.388560j,-0.185457-0.982652j,-4.247928-9.026900j
-0.553856-0.832613j,+0.208236+0.978079j,+0.004318+5.326792j
-0.959977+0.280079j,-0.502062+0.864832j,-6.896428+7.758890j
+0.906969+0.421197j,+0.460160-0.887836j,+6.402189-5.839098j
-0.417798+0.908540j,-0.460466+0.887677j,-4.937123+9.827038j
+0.707503-0.706711j,-0.458600+0.888643j,-1.546291+4.989011j
-0.646590-0.762837j,+0.938551+0.345141j,+5.568635+0.472618j
-0.992155-0.125013j,-0.976689+0.214659j,-10.789978+1.342234j
-0.677801+0.735246j,+0.568729+0.822525j,+2.516426+8.785940j
-0.895110+0.445845j,+0.174417+0.984672j,-1.289995+9.214911j
-0.689206+0.724566j,-0.333487-0.942755j,-4.735512-5.368340j
-0.137832-0.990456j,-0.285597+0.958350j,-2.698273+4.695432j
-0.505737+0.862688j,+0.926356-0.376649j,+5.893639-0.425126j
+0.951449-0.307808j,-0.876203-0.481942j,-4.155278-4.778962j
+0.891966-0.452102j,+0.997402-0.072037j,+10.655114-1.932600j
+0.987653-0.156655j,+0.600102+0.799924j,+7.763774+5.929425j
+0.581171+0.813781j,+0.516724-0.856152j,+5.877307-4.407871j
+0.976188+0.216927j,+0.203511+0.979073j,+4.556648+8.483364j
-0.956442-0.291922j,-0.948907+0.315557j,-10.460580+1.648687j
-0.548821+0.835940j,-0.952164-0.305589j,-9.263771+0.063109j
-0.428537-0.903524j,+0.958486-0.285141j,+6.382274-4.991703j
+0.262112+0.965037j,+0.524033+0.851698j,+4.978603+9.708694j
-0.890576+0.454835j,+0.991529-0.129884j,+5.260507+0.325435j
+0.428411-0.903584j,-0.993768-0.111466j,-6.664914-3.602484j
+0.701081+0.713081j,-0.494537+0.869157j,-1.853049+9.092499j
+0.760330-0.649537j,+0.535236+0.844703j,+6.562874+4.809010j
+0.774669-0.632367j,-0.003844-0.999993j,+2.293256-9.897042j
+0.193707+0.981059j,+0.571417+0.820660j,+5.152456+9.508458j
+0.218269+0.975889j,-0.626092-0.779750j,-4.353926-3.310330j
-0.587056+0.809546j,-0.995959-0.089806j,-9.728843+1.710191j
+0.824919-0.565251j,-0.143089-0.989710j,+1.330045-9.613433j
+0.281875+0.959451j,+0.967316-0.253573j,+8.584155+0.849767j
+0.167040+0.985950j,-0.237265+0.971445j,-1.397004+10.729409j
+0.524404+0.851470j,-0.998897-0.046956j,-6.417964+2.178761j
+0.607191+0.794556j,+0.029810-0.999556j,+2.060058-5.612778j
-0.983240+0.182314j,+0.805392-0.592742j,+3.493415-4.194998j
-0.979783-0.200064j,+0.252902-0.967492j,-0.916130-8.340126j
-0.997403-0.072026j,-0.804549-0.593886j,-9.428602-4.967165j
-0.661192-0.750217j,+0.502347-0.864666j,+2.035201-9.167980j
+0.466074-0.884746j,-0.216541-0.976273j,-0.334106-10.464425j
+0.955869-0.293792j,+0.986474+0.163916j,+10.759402+0.429950j
+0.566796-0.823858j,+0.131427+0.991326j,+2.751806+5.459031j
-0.200053-0.979785j,-0.823084-0.567920j,-7.184830-7.482713j
+0.035523-0.999369j,-0.882782+0.469783j,-6.955686+0.760156j
+0.367238+0.930127j,-0.312314-0.949979j,-1.396801-4.809449j
+0.078837-0.996888j,-0.355203+0.934789j,-2.605113+4.487651j
-0.991830+0.127566j,-0.985663-0.168727j,-10.860792-0.967121j
+0.967210-0.253979j,-0.918556-0.395291j,-4.446819-3.924266j
-0.999007+0.044556j,-0.397626-0.917548j,-6.178030-7.206711j
+0.650117-0.759834j,+0.587869-0.808956j,+6.653301-8.751153j
+0.365829-0.930682j,-0.124616-0.992205j,+0.100560-10.729687j
+0.966432+0.256923j,+0.991771-0.128027j,+10.833460-0.253450j
-0.935445+0.353473j,-0.108481+0.994099j,-3.674179+9.013207j
-0.325373-0.945586j,+0.676335+0.736594j,+4.434561+3.055995j
+0.979097-0.203394j,+0.958803-0.284073j,+10.607713-2.882763j
+0.758012+0.652240j,-0.105747-0.994393j,+1.428064-5.998423j
+0.999664+0.025940j,+0.421637-0.906765j,+6.372089-7.176298j
-0.826061+0.563581j,-0.167458-0.985879j,-3.817845-6.196292j
-0.474492-0.880260j,+0.929911+0.367785j,+6.015812+0.301499j
+0.920159+0.391544j,+0.999994+0.003443j,+10.760431+1.202177j
+0.906887+0.421374j,-0.417313+0.908763j,-0.617844+8.534224j
-0.999505-0.031454j,+0.470185-0.882568j,+0.762961-7.154906j
+0.022285+0.999752j,-0.766139-0.642675j,-6.062254-2.142148j
+0.953657-0.300895j,+0.072704+0.997354j,+3.442607+7.076143j
+0.983852-0.178986j,-0.989486-0.144628j,-4.964334-1.693980j
+0.948714+0.316136j,+0.960788-0.277282j,+10.532449-1.269851j
+0.419094-0.907943j,-0.673264-0.739402j,-4.128833-8.639044j
-0.298297+0.954473j,-0.381529-0.924357j,-3.947120-4.531436j
-0.885208-0.465196j,-0.944184-0.329419j,-10.209093-4.030943j
-0.087868-0.996132j,+0.209499+0.977809j,+1.412392+4.834074j
+0.208888+0.977940j,+0.952040+0.305973j,+8.242985+5.381602j
-0.408339-0.912830j,-0.660084+0.751192j,-6.505690+3.271044j
+0.971055+0.238856j,+0.520420-0.853911j,+7.076523-6.114716j
+0.162641-0.986685j,+0.764832-0.644230j,+6.606579-8.113893j
+0.982718+0.185107j,+0.084334-0.996438j,+3.622831-7.416179j
+0.018621+0.999827j,+0.997735-0.067274j,+8.037740+2.461285j
+0.990509-0.137446j,-0.462072-0.886842j,-0.725052-7.507077j
+0.974175+0.225796j,-0.231840+0.972754j,+1.067805+8.459420j
-0.081064+0.996709j,+0.278220+0.960517j,+1.982568+10.674266j
-0.999700+0.024494j,+0.204465+0.978874j,-1.363377+7.904472j
+0.156556+0.987669j,-0.824267+0.566202j,-6.124464+7.492623j
-0.996609+0.082284j,-0.968247+0.249995j,-10.735805+2.246808j
-0.705245-0.708963j,-0.106060-0.994360j,-2.964218-10.081767j
-0.381410+0.924406j,+0.250933-0.968004j,+0.863233-4.970818j
-0.186909+0.982377j,-0.359833+0.933017j,-3.439388+10.411266j
-0.704441+0.709763j,+0.144903+0.989446j,-0.954103+10.044855j
+0.268265+0.963345j,-0.061662+0.998097j,+0.311500+10.874813j
+0.384342+0.923191j,+0.965496+0.260419j,+8.876991+4.852924j
+0.085446-0.996343j,+0.979272+0.202551j,+8.090512-1.368618j
+0.981975+0.189008j,-0.217547+0.976050j,+1.205553+8.375424j
-0.995316-0.096676j,-0.635591-0.772026j,-8.070679-6.466233j
-0.478720+0.877968j,-0.404278+0.914636j,-4.670388+9.950990j
-0.065517-0.997851j,+0.238114-0.971237j,+1.708364-10.763451j
-0.180284+0.983615j,+0.417626+0.908619j,+2.800158+10.219794j
-0.937206-0.348777j,-0.990958-0.134175j,-10.739279-2.119728j
-0.521577+0.853204j,-0.010645-0.999943j,-1.649890-5.439934j
-0.473118-0.880999j,+0.989216-0.146466j,+6.494371-3.814724j
-0.704881-0.709326j,+0.400766-0.916181j,+1.091483-9.457423j
+0.763313+0.646028j,+0.836445-0.548052j,+8.981497-2.446327j
-0.218689+0.975795j,-0.929441-0.368972j,-8.091592-0.024389j
-0.999360+0.035774j,+0.731238+0.682123j,+2.851823+5.564302j
-0.984880-0.173238j,-0.549720+0.835349j,-7.352402+6.163075j
+0.003235-0.999995j,+0.727465+0.686145j,+5.829423+2.489176j
+0.981937-0.189206j,+0.594148+0.804356j,+7.698994+5.867228j
+0.994154+0.107972j,-0.392616-0.919703j,-0.158463-7.033706j
-0.857413-0.514629j,-0.984607-0.174783j,-10.449095-2.942148j
-0.528845+0.848718j,-0.990392-0.138287j,-9.509674+1.439861j
+0.800277-0.599631j,-0.699810+0.714329j,-3.197647+3.915742j
+0.869104+0.494629j,+0.980873-0.194649j,+10.454296-0.073301j
+0.441617+0.897204j,+0.834905-0.550395j,+8.004086-1.711547j
+0.367599+0.929985j,+0.821055+0.570849j,+7.671235+7.356748j
+0.381892-0.924207j,+0.315897-0.948794j,+3.672847-10.362971j
-0.999638+0.026909j,+0.697960-0.716137j,+2.584764-5.648369j
+0.016526+0.999863j,+0.849992-0.526795j,+6.849518-1.214769j
-0.128890-0.991659j,+0.757493-0.652843j,+5.673272-8.197724j
+0.242105+0.970250j,+0.868903+0.494983j,+7.677539+6.870611j
+0.152812-0.988255j,-0.142469+0.989799j,-0.681314+4.953629j
-0.116590+0.993180j,+0.692465-0.721452j,+5.189950-2.792072j
+0.204920-0.978779j,-0.238900+0.971044j,-1.296438+4.832018j
-0.984654+0.174517j,+0.057657+0.998336j,-2.492707+8.510242j
-0.661056-0.750337j,-0.589082+0.808073j,-6.695826+4.213573j
-0.262114+0.965037j,-0.452309-0.891861j,-4.404811-4.239780j
+0.965637+0.259896j,-0.834041-0.551702j,-3.775421-3.633928j
-0.767147+0.641471j,+0.999492-0.031885j,+5.694491+1.669336j
-0.683323+0.730116j,+0.930518-0.366245j,+5.394177-0.739614j
+0.701080+0.713083j,-0.743498-0.668738j,-3.844749-3.210652j
-0.934974-0.354716j,-0.305707-0.952126j,-5.250575-8.681155j
-0.007191+0.999974j,+0.193674+0.981066j,+1.527821+10.848450j
-0.892451+0.451144j,+0.990556-0.137107j,+5.247097+0.256577j
+0.178262+0.983983j,+0.769028+0.639215j,+6.687009+8.065671j
+0.220543+0.975377j,+0.406398+0.913696j,+3.912813+10.235701j
+0.975214+0.221264j,-0.611998+0.790859j,-1.970343+6.990665j
+0.559188-0.829041j,-0.888671+0.458546j,-5.431801+1.181246j
+0.626227-0.779641j,+0.977742+0.209809j,+9.700621-0.660454j
-0.997275+0.073780j,-0.950647+0.310274j,-10.597001+2.703532j
-0.003132-0.999995j,+0.771936-0.635700j,+6.166093-8.085586j
+0.601256-0.799057j,-0.214013-0.976831j,+0.091661-10.211817j
+0.221023-0.975269j,+0.202271+0.979330j,+2.281237+4.908830j
+0.055622-0.998452j,-0.656014+0.754749j,-5.081245+3.042635j
+0.469687-0.882833j,-0.674747+0.738049j,-3.988918+3.255891j
-0.604796-0.796381j,-0.263191+0.964744j,-3.919919+5.328807j
-0.629706-0.776834j,+0.155799+0.987789j,-0.642725+5.571809j
