V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,R2
2.7421+j2.37429,4.36982+j1.36773,4.79444-j0.129188,4.43271-j1.27234,3.81196-j1.93867,3.19418-j2.26332,2.66315-j2.38436,2.22949-j2.39296,1.88103-j2.34238,1.60139-j2.26249,4071.6
2.75624+j2.36023,4.36367+j1.34358,4.77318-j0.141257,4.41147-j1.27047,3.79676-j1.92954,3.18498-j2.25204,2.65831-j2.37341,2.2275-j2.38324,1.88078-j2.33406,1.60219-j2.25549,4129.2
2.52991+j2.55324,4.43409+j1.72695,5.10585+j0.0655081,4.75335-j1.29598,4.03911-j2.07655,3.32829-j2.43291,2.73092-j2.54717,2.25517-j2.53588,1.88141-j2.46335,1.58712-j2.36347,3404.4
2.13668+j2.76845,4.42299+j2.39855,5.67534+j0.523896,5.40236-j1.31759,4.48635-j2.35609,3.57332-j2.772,2.84064-j2.86177,2.28514-j2.80314,1.86695-j2.68335,1.54903-j2.54296,2671.2
2.86356+j2.24248,4.30827+j1.15826,4.60818-j0.22998,4.24904-j1.25492,3.6798-j1.8597,3.11316-j2.16564,2.61974-j2.28895,2.21089-j2.30772,1.87793-j2.2691,1.60765-j2.20052,4653.6
2.86084+j2.24572,4.30988+j1.163,4.61246-j0.227792,4.25319-j1.25534,3.68281-j1.86149,3.11502-j2.16785,2.62076-j2.29112,2.21134-j2.30967,1.87803-j2.27078,1.60753-j2.20195,4638
1.95443+j2.82974,4.35759+j2.71686,5.94391+j0.799664,5.75092-j1.31476,4.72032-j2.5067,3.69161-j2.95157,2.88646-j3.02253,2.29143-j2.93529,1.85295-j2.78921,1.52523-j2.62746,2436
2.83796+j2.27249,4.32295+j1.20288,4.64824-j0.209232,4.2881-j1.25886,3.70804-j1.87649,3.13065-j2.18644,2.62927-j2.30937,2.2151-j2.32605,1.87878-j2.28493,1.60645-j2.21396,4512
2.49472+j2.57796,4.43993+j1.78641,5.15673+j0.100706,4.80765-j1.29913,4.07716-j2.09991,3.3501-j2.4615,2.74144-j2.57425,2.25873-j2.55934,1.88091-j2.48299,1.58436-j2.37972,3319.2
2.15922+j2.75934,4.42828+j2.3595,5.64239+j0.493071,5.36186-j1.31727,4.45891-j2.33862,3.559-j2.75102,2.83475-j2.84273,2.284-j2.78729,1.86834-j2.67053,1.55168-j2.53264,2703.6
2.49267+j2.57936,4.44023+j1.78988,5.1597+j0.102786,4.81082-j1.29931,4.07938-j2.10128,3.35138-j2.46317,2.74205-j2.57583,2.25894-j2.56071,1.88088-j2.48413,1.58419-j2.38066,3314.4
2.30115+j2.69363,4.44827+j2.11533,5.43616+j0.313089,5.11762-j1.31242,4.2921-j2.23334,3.46997-j2.62397,2.79668-j2.72621,2.27522-j2.6894,1.87543-j2.5907,1.56695-j2.46803,2929.2
2.42127+j2.62572,4.44783+j1.91078,5.26273+j0.177353,4.92275-j1.305,4.15741-j2.14944,3.39554-j2.52199,2.7629-j2.63121,2.26561-j2.60842,1.87938-j2.52385,1.57819-j2.41337,3157.2
2.84952+j2.25911,4.31645+j1.18278,4.63022-j0.218625,4.2705-j1.2571,3.69533-j1.86893,3.12279-j2.17707,2.625-j2.30018,2.21322-j2.3178,1.87841-j2.27781,1.60701-j2.20792,4574.4
2.59144+j2.50691,4.42067+j1.62304,5.01656+j0.00612176,4.65945-j1.28995,3.97305-j2.03616,3.28996-j2.38338,2.71208-j2.49999,2.24848-j2.49479,1.8819-j2.42881,1.59169-j2.33481,3567.6
2.41137+j2.63178,4.44846+j1.9276,5.27702+j0.188041,4.93849-j1.30572,4.16834-j2.15621,3.40166-j2.53024,2.76575-j2.63895,2.26647-j2.61506,1.87913-j2.52936,1.57732-j2.41789,3136.8
2.63344+j2.47284,4.40911+j1.55209,4.95526-j0.0329476,4.59595-j1.28545,3.92815-j2.00885,3.2636-j2.34982,2.69888-j2.46785,2.24358-j2.46665,1.88196-j2.40504,1.59461-j2.31501,3691.2
2.69251+j2.42126,4.38949+j1.45207,4.86832-j0.086075,4.50712-j1.2786,3.86507-j1.97066,3.22612-j2.30278,2.67976-j2.42258,2.23619-j2.42679,1.88165-j2.37123,1.59843-j2.28673,3885.6
2.47601+j2.59061,4.4425+j1.81807,5.18376+j0.119818,4.83673-j1.30072,4.09749-j2.11242,3.36169-j2.4768,2.74698-j2.58871,2.26056-j2.57184,1.88058-j2.49341,1.58284-j2.38832,3276
2.67227+j2.43944,4.39666+j1.48638,4.89822-j0.0681033,4.53751-j1.28102,3.88669-j1.98373,3.23903-j2.31888,2.68638-j2.43811,2.23879-j2.4405,1.88181-j2.38287,1.59716-j2.29648,3816
2.43556+j2.61682,4.44675+j1.88655,5.24211+j0.162087,4.90015-j1.30393,4.1417-j2.13971,3.3867-j2.51012,2.75878-j2.62008,2.26433-j2.59885,1.87973-j2.51591,1.57944-j2.40684,3187.2
2.68874+j2.42468,4.39086+j1.45846,4.87389-j0.08275,4.51277-j1.27905,3.86909-j1.97309,3.22853-j2.30578,2.68099-j2.42547,2.23668-j2.42935,1.88168-j2.3734,1.5982-j2.28855,3872.4
2.27732+j2.70571,4.44649+j2.15614,5.47067+j0.341729,5.15746-j1.31355,4.31946-j2.25051,3.48481-j2.64475,2.80321-j2.74541,2.27689-j2.70564,1.87443-j2.60402,1.56455-j2.47885,2888.4
2.1852+j2.74841,4.43365+j2.31458,5.60449+j0.458352,5.31582-j1.31674,4.42763-j2.31877,3.54257-j2.72714,2.82792-j2.82098,2.28261-j2.76914,1.86984-j2.6558,1.55463-j2.52079,2742
2.59016+j2.50791,4.42099+j1.62521,5.01842+j0.00733047,4.66139-j1.29008,3.97441-j2.037,3.29076-j2.3844,2.71248-j2.50097,2.24863-j2.49565,1.88189-j2.42953,1.5916-j2.33541,3564
2.8689+j2.23604,4.30509+j1.14889,4.59975-j0.234289,4.24084-j1.25407,3.67388-j1.85618,3.10946-j2.16127,2.61773-j2.28465,2.20998-j2.30385,1.87774-j2.26575,1.6079-j2.19767,4684.8
2.82946+j2.28217,4.32761+j1.21762,4.66142-j0.202292,4.301-j1.26013,3.71735-j1.88204,3.1364-j2.19331,2.63238-j2.3161,2.21646-j2.33209,1.87904-j2.29013,1.60604-j2.21837,4467.6
2.38926+j2.645,4.44947+j1.96514,5.30891+j0.212203,4.97381-j1.30725,4.19285-j2.17142,3.41533-j2.54875,2.77206-j2.65628,2.26836-j2.62988,1.87851-j2.54165,1.57535-j2.42797,3092.4
2.80404+j2.31034,4.34095+j1.26158,4.70059-j0.181351,4.3395-j1.26385,3.74509-j1.89859,3.15346-j2.2138,2.64156-j2.33614,2.22043-j2.35002,1.87975-j2.30557,1.60477-j2.23144,4341.6
2.87053+j2.23407,4.30411+j1.14604,4.59718-j0.235597,4.23834-j1.25381,3.67207-j1.85511,3.10834-j2.15994,2.61711-j2.28334,2.20971-j2.30267,1.87768-j2.26474,1.60797-j2.19681,4694.4
1.96153+j2.82774,4.36093+j2.70436,5.93336+j0.787929,5.73652-j1.31507,4.71074-j2.50047,3.6869-j2.94419,2.88473-j3.01601,2.29128-j2.92998,1.8536-j2.785,1.52624-j2.62412,2444.4
2.36323+j2.66004,4.44999+j2.00941,5.34646+j0.241224,5.01576-j1.30893,4.22188-j2.18948,3.43144-j2.57073,2.77942-j2.67678,2.2705-j2.64739,1.8777-j2.55612,1.57295-j2.43981,3042
2.26872+j2.70996,4.44569+j2.17087,5.48312+j0.352206,5.17195-j1.31393,4.32939-j2.25675,3.49017-j2.6523,2.80555-j2.75237,2.27747-j2.71151,1.87405-j2.60883,1.56365-j2.48276,2874
2.7574+j2.35907,4.36316+j1.34161,4.77144-j0.142237,4.40974-j1.27032,3.79551-j1.92879,3.18422-j2.25112,2.65791-j2.37252,2.22733-j2.38244,1.88077-j2.33338,1.60226-j2.25491,4134
2.20652+j2.73908,4.43747+j2.27781,5.57345+j0.430489,5.27852-j1.31617,4.40223-j2.30268,3.52914-j2.70777,2.82228-j2.80329,2.28139-j2.75433,1.871-j2.64377,1.55703-j2.51105,2774.4
1.92864+j2.83671,4.34493+j2.76222,5.98219+j0.842943,5.80372-j1.31345,4.75542-j2.52955,3.70878-j2.97861,2.8927-j3.0464,2.29189-j2.95466,1.85054-j2.80456,1.52148-j2.63962,2406
2.1239+j2.77346,4.41972+j2.42072,5.69404+j0.541662,5.42553-j1.31772,4.50204-j2.36609,3.58147-j2.784,2.84395-j2.87264,2.28574-j2.81216,1.86614-j2.69064,1.5475-j2.54882,2653.2
2.85577+j2.25175,4.31285+j1.17187,4.62043-j0.22369,4.26095-j1.25613,3.68843-j1.86483,3.11851-j2.17199,2.62267-j2.29519,2.21219-j2.31332,1.8782-j2.27394,1.6073-j2.20464,4609.2
2.78298+j2.33279,4.35133+j1.2978,4.73273-j0.16381,4.37126-j1.26683,3.76792-j1.91225,3.16743-j2.23068,2.64902-j2.35262,2.2236-j2.36472,1.88024-j2.31819,1.60366-j2.24211,4244.4
2.79145+j2.32384,4.34722+j1.28324,4.71983-j0.170894,4.35849-j1.26564,3.75874-j1.90676,3.16182-j2.22389,2.64604-j2.346,2.22234-j2.35882,1.88005-j2.31313,1.60411-j2.23783,4282.8
2.30665+j2.69078,4.44859+j2.10593,5.42821+j0.306568,5.10849-j1.31215,4.28582-j2.22941,3.46654-j2.6192,2.79517-j2.7218,2.27482-j2.68566,1.87565-j2.58763,1.5675-j2.46552,2938.8
2.67191+j2.43975,4.39678+j1.48698,4.89874-j0.0677833,4.53805-j1.28106,3.88707-j1.98395,3.23925-j2.31917,2.6865-j2.43838,2.23883-j2.44073,1.88181-j2.38308,1.59713-j2.29665,3814.8
2.50487+j2.57097,4.43838+j1.76927,5.14208+j0.0904673,4.79195-j1.29825,4.06617-j2.09316,3.34382-j2.45324,2.73843-j2.56644,2.25772-j2.55258,1.88107-j2.47733,1.58517-j2.37504,3343.2
2.32424+j2.68149,4.4494+j2.07588,5.40278+j0.285914,5.07943-j1.31121,4.26582-j2.21689,3.45562-j2.60402,2.79031-j2.70773,2.27353-j2.67373,1.87633-j2.57783,1.56923-j2.45753,2970
2.85233+j2.2558,4.31483+j1.17787,4.62582-j0.220911,4.2662-j1.25666,3.69222-j1.86708,3.12086-j2.17478,2.62395-j2.29793,2.21276-j2.31578,1.87832-j2.27607,1.60714-j2.20644,4590
2.74089+j2.37547,4.37033+j1.36978,4.79624-j0.128156,4.43452-j1.2725,3.81325-j1.93944,3.19496-j2.26428,2.66356-j2.3853,2.22966-j2.39379,1.88105-j2.34309,1.60132-j2.26309,4066.8
2.84754+j2.26141,4.31757+j1.18621,4.6333-j0.217028,4.2735-j1.2574,3.69749-j1.87022,3.12413-j2.17867,2.62573-j2.30174,2.21354-j2.31921,1.87848-j2.27903,1.60691-j2.20895,4563.6
2.07726+j2.7908,4.40616+j2.50183,5.76247+j0.6084,5.51163-j1.31779,4.56015-j2.40326,3.61136-j2.8285,2.85591-j2.91279,2.28776-j2.84539,1.86295-j2.7174,1.54174-j2.57028,2589.6
2.81102+j2.30272,4.33738+j1.24954,4.68989-j0.187125,4.32895-j1.26285,3.7375-j1.89406,3.1488-j2.20818,2.63906-j2.33066,2.21935-j2.34511,1.87956-j2.30135,1.60513-j2.22787,4375.2
2.68977+j2.42374,4.39048+j1.45671,4.87236-j0.0836603,4.51123-j1.27893,3.86799-j1.97243,3.22787-j2.30496,2.68066-j2.42468,2.23655-j2.42865,1.88168-j2.3728,1.59826-j2.28805,3876
2.75682+j2.35965,4.36341+j1.34259,4.77231-j0.141747,4.4106-j1.27039,3.79613-j1.92916,3.1846-j2.25158,2.65811-j2.37297,2.22741-j2.38284,1.88078-j2.33372,1.60223-j2.2552,4131.6
2.81323+j2.30029,4.33623+j1.24572,4.68648-j0.18895,4.32561-j1.26253,3.73509-j1.89262,3.14732-j2.20641,2.63827-j2.32891,2.21902-j2.34356,1.8795-j2.30001,1.60523-j2.22674,4386
2.57718+j2.51802,4.42415+j1.64713,5.0373+j0.0196544,4.68111-j1.2914,3.98833-j2.04548,3.29887-j2.39482,2.71649-j2.51091,2.25009-j2.50433,1.88183-j2.43685,1.59067-j2.34149,3528
2.5399+j2.54599,4.4322+j1.71008,5.09139+j0.0556852,4.73802-j1.29504,4.02836-j2.06996,3.32208-j2.42483,2.7279-j2.5395,2.25412-j2.52921,1.88152-j2.45776,1.58789-j2.35884,3429.6
2.76056+j2.35589,4.36174+j1.33621,4.76668-j0.144916,4.405-j1.2699,3.79212-j1.92675,3.18216-j2.2486,2.65683-j2.37007,2.22688-j2.38026,1.88071-j2.33151,1.60243-j2.25334,4147.2
2.70326+j2.41136,4.38547+j1.43382,4.85237-j0.0955366,4.49098-j1.27728,3.85356-j1.96372,3.21924-j2.29423,2.67621-j2.41431,2.23477-j2.41949,1.88155-j2.36501,1.59909-j2.28152,3924
2.10833+j2.77941,4.41548+j2.44777,5.71686+j0.563615,5.45402-j1.31781,4.5213-j2.37839,3.59141-j2.79874,2.84796-j2.88596,2.28645-j2.82321,1.86511-j2.69955,1.54562-j2.55597,2631.6
2.68529+j2.4278,4.39209+j1.46431,4.87899-j0.0796937,4.51795-j1.27947,3.87278-j1.97532,3.23073-j2.30853,2.68213-j2.42811,2.23712-j2.43168,1.88172-j2.37539,1.59798-j2.29021,3860.4
2.82525+j2.28692,4.32989+j1.22493,4.66795-j0.198837,4.3074-j1.26076,3.72197-j1.8848,3.13925-j2.19672,2.63392-j2.31943,2.21713-j2.33507,1.87917-j2.29271,1.60584-j2.22055,4446
2.19316+j2.74496,4.43514+j2.30085,5.5929+j0.447885,5.30185-j1.31654,4.41812-j2.31274,3.53755-j2.71988,2.82582-j2.81436,2.28216-j2.7636,1.87028-j2.6513,1.55555-j2.51714,2754
2.62038+j2.48365,4.41291+j1.57415,4.97435-j0.0209244,4.61565-j1.28688,3.9421-j2.01733,3.27181-j2.36023,2.70301-j2.47784,2.24514-j2.47541,1.88196-j2.41245,1.59372-j2.32118,3651.6
2.71632+j2.39915,4.38041+j1.41163,4.83296-j0.106936,4.47139-j1.27565,3.83959-j1.9553,3.21085-j2.28384,2.67185-j2.40426,2.23303-j2.4106,1.8814-j2.35744,1.59988-j2.27516,3972
2.79119+j2.32412,4.34735+j1.28369,4.72023-j0.170675,4.35888-j1.26568,3.75902-j1.90693,3.162-j2.2241,2.64612-j2.3462,2.22238-j2.359,1.88006-j2.31328,1.6041-j2.23796,4281.6
2.05812+j2.7975,4.39983+j2.53521,5.79063+j0.636679,5.54768-j1.31763,4.5844-j2.41884,3.62371-j2.8471,2.86076-j2.92949,2.28849-j2.85917,1.86155-j2.72846,1.53931-j2.57913,2564.4
2.14928+j2.76341,4.42602+j2.37672,5.65692+j0.506592,5.37967-j1.31743,4.47098-j2.3463,3.56531-j2.76025,2.83735-j2.85111,2.28451-j2.79428,1.86773-j2.67618,1.5505-j2.5372,2689.2
2.56474+j2.5275,4.427+j1.66812,5.05536+j0.031559,4.70004-j1.29265,4.00165-j2.05362,3.30662-j2.4048,2.72032-j2.52044,2.25145-j2.51263,1.88174-j2.44383,1.58976-j2.34729,3494.4
2.57233+j2.52174,4.42528+j1.65531,5.04435+j0.0242839,4.68849-j1.29189,3.99352-j2.04865,3.30189-j2.3987,2.71799-j2.51462,2.25062-j2.50757,1.8818-j2.43957,1.59031-j2.34375,3514.8
2.7421+j2.37429,4.36982+j1.36773,4.79444-j0.129188,4.43271-j1.27234,3.81196-j1.93867,3.19418-j2.26332,2.66315-j2.38436,2.22949-j2.39296,1.88103-j2.34238,1.60139-j2.26249,4071.6
2.85016+j2.25834,4.31607+j1.18164,4.62921-j0.219155,4.26951-j1.257,3.69461-j1.8685,3.12235-j2.17654,2.62476-j2.29966,2.21311-j2.31734,1.87839-j2.27741,1.60704-j2.20758,4578
2.57189+j2.52208,4.42538+j1.65606,5.04499+j0.0247077,4.68916-j1.29193,3.99399-j2.04894,3.30217-j2.39906,2.71813-j2.51496,2.25067-j2.50786,1.88179-j2.43982,1.59028-j2.34396,3513.6
2.80404+j2.31034,4.34095+j1.26158,4.70059-j0.181351,4.3395-j1.26385,3.74509-j1.89859,3.15346-j2.2138,2.64156-j2.33614,2.22043-j2.35002,1.87975-j2.30557,1.60477-j2.23144,4341.6
2.29561+j2.69647,4.44791+j2.1248,5.44418+j0.319692,5.12684-j1.3127,4.29844-j2.23732,3.47341-j2.62878,2.79821-j2.73066,2.27561-j2.69316,1.8752-j2.59379,1.5664-j2.47055,2919.6
2.34075+j2.67256,4.44985+j2.04771,5.37893+j0.266808,5.05235-j1.31029,4.24715-j2.20523,3.44537-j2.58986,2.78572-j2.69459,2.27227-j2.66256,1.87694-j2.56863,1.57083-j2.45003,3000
2.35496+j2.66469,4.45001+j2.02348,5.35839+j0.250573,5.02918-j1.30944,4.23115-j2.19525,3.43657-j2.57775,2.78174-j2.68331,2.27116-j2.65296,1.87743-j2.56072,1.57217-j2.44357,3026.4
1.9696+j2.82544,4.36463+j2.69019,5.9214+j0.774719,5.72027-j1.31541,4.69992-j2.49344,3.68156-j2.93586,2.88277-j3.00863,2.29111-j2.92397,1.85432-j2.78022,1.52738-j2.62034,2454
2.79639+j2.31857,4.34479+j1.27475,4.71229-j0.175003,4.35105-j1.26494,3.75339-j1.90356,3.15855-j2.21993,2.64429-j2.34214,2.22159-j2.35537,1.87994-j2.31017,1.60437-j2.23533,4305.6
2.84157+j2.26835,4.32095+j1.19662,4.64263-j0.212165,4.28262-j1.25832,3.70408-j1.87414,3.12821-j2.18352,2.62794-j2.30651,2.21452-j2.32349,1.87867-j2.28271,1.60663-j2.21209,4531.2
2.79198+j2.32329,4.34696+j1.28233,4.71903-j0.171329,4.35771-j1.26557,3.75817-j1.90642,3.16148-j2.22347,2.64585-j2.34559,2.22226-j2.35845,1.88004-j2.31282,1.60414-j2.23756,4285.2
2.55888+j2.53194,4.42829+j1.67804,5.06388+j0.0372234,4.709-j1.29322,4.00796-j2.05747,3.31028-j2.40953,2.72212-j2.52494,2.25209-j2.51655,1.8817-j2.44712,1.58932-j2.35003,3478.8
2.75276+j2.36372,4.36521+j1.34954,4.77843-j0.138291,4.41671-j1.27094,3.8005-j1.93179,3.18725-j2.25482,2.65951-j2.37612,2.22799-j2.38564,1.88085-j2.33611,1.602-j2.25722,4114.8
2.2716+j2.70854,4.44597+j2.16594,5.47896+j0.348692,5.16709-j1.3138,4.32606-j2.25465,3.48838-j2.64978,2.80477-j2.75004,2.27728-j2.70955,1.87418-j2.60722,1.56397-j2.48144,2878.8
2.3856+j2.64715,4.44959+j1.97135,5.31418+j0.216242,4.97968-j1.30749,4.19691-j2.17394,3.4176-j2.55183,2.77309-j2.65915,2.26867-j2.63234,1.8784-j2.54368,1.57501-j2.42963,3085.2
2.43103+j2.61967,4.44712+j1.89425,5.24866+j0.166915,4.90731-j1.30428,4.14668-j2.14279,3.38951-j2.51388,2.7601-j2.62361,2.26474-j2.60189,1.87963-j2.51843,1.57904-j2.40891,3177.6
2.52847+j2.55428,4.43436+j1.72939,5.10794+j0.0669322,4.75557-j1.29611,4.04067-j2.0775,3.32918-j2.43408,2.73135-j2.54827,2.25532-j2.53684,1.88139-j2.46415,1.58702-j2.36414,3400.8
2.84157+j2.26835,4.32095+j1.19662,4.64263-j0.212165,4.28262-j1.25832,3.70408-j1.87414,3.12821-j2.18352,2.62794-j2.30651,2.21452-j2.32349,1.87867-j2.28271,1.60663-j2.21209,4531.2
1.92446+j2.8378,4.3428+j2.76958,5.98841+j0.850073,5.81238-j1.31321,4.76117-j2.5333,3.71157-j2.98303,2.89371-j3.0503,2.29195-j2.95781,1.85014-j2.80707,1.52086-j2.6416,2401.2
2.79067+j2.32467,4.3476+j1.28458,4.72102-j0.170238,4.35967-j1.26575,3.75959-j1.90727,3.16234-j2.22452,2.64631-j2.34661,2.22245-j2.35936,1.88007-j2.31359,1.60407-j2.23823,4279.2
2.6676+j2.44355,4.39825+j1.49429,4.90509-j0.0639214,4.54453-j1.28156,3.89167-j1.98674,3.24199-j2.3226,2.6879-j2.44168,2.23938-j2.44365,1.88184-j2.38555,1.59686-j2.29872,3800.4
1.9411+j2.8334,4.35115+j2.7403,5.96369+j0.821896,5.7781-j1.31411,4.7384-j2.51846,3.70047-j2.96549,2.8897-j3.03484,2.29168-j2.94528,1.85172-j2.79713,1.52329-j2.63375,2420.4
2.84645+j2.26269,4.31819+j1.18812,4.63501-j0.216136,4.27518-j1.25757,3.69871-j1.87094,3.12489-j2.17957,2.62614-j2.30262,2.21372-j2.31999,1.87851-j2.27971,1.60686-j2.20953,4557.6
